                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                0.00924,                0.83724,                0.97103,                0.97682,                0.84293,                0.90501,                0.80112,                 0.0071,                0.51551,                0.90384,              0.0068359,              0.0068359,              0.0068359
                     48,                0.00925,                0.83776,                0.97183,                0.97678,                 0.8433,                0.90514,                0.80168,                0.00707,                 0.5145,                0.90321,              0.0067656,              0.0067656,              0.0067656
                     49,                0.00925,                0.83671,                0.97079,                 0.9768,                0.84359,                0.90539,                0.80221,                0.00705,                0.51373,                0.90281,              0.0066953,              0.0066953,              0.0066953
                     50,                0.00922,                0.83375,                0.96974,                0.97701,                 0.8436,                0.90564,                0.80298,                0.00704,                0.51248,                0.90224,               0.006625,               0.006625,               0.006625
                     51,                0.00921,                0.83315,                0.97011,                0.97733,                0.84357,                0.90582,                0.80282,                0.00705,                0.51215,                0.90263,              0.0065547,              0.0065547,              0.0065547
                     52,                0.00921,                0.83127,                0.96989,                 0.9773,                0.84378,                0.90599,                 0.8027,                0.00705,                0.51127,                0.90274,              0.0064844,              0.0064844,              0.0064844
                     53,                 0.0092,                0.83193,                0.96933,                0.97761,                0.84384,                0.90607,                0.80291,                0.00705,                0.51037,                0.90258,              0.0064141,              0.0064141,              0.0064141
                     54,                0.00919,                0.83095,                0.96864,                0.97703,                0.84459,                0.90624,                0.80289,                0.00705,                0.50951,                0.90262,              0.0063438,              0.0063438,              0.0063438
                     55,                0.00919,                0.82992,                0.96948,                0.97694,                0.84485,                0.90638,                0.80324,                0.00704,                 0.5088,                0.90234,              0.0062734,              0.0062734,              0.0062734
                     56,                0.00915,                0.82358,                0.96765,                0.97693,                0.84532,                0.90657,                0.80331,                0.00705,                0.50835,                0.90246,              0.0062031,              0.0062031,              0.0062031
                     57,                0.00916,                0.82472,                0.96781,                0.97722,                 0.8453,                0.90671,                0.80354,                0.00704,                0.50757,                 0.9023,              0.0061328,              0.0061328,              0.0061328
                     58,                0.00915,                0.82368,                0.96739,                0.97757,                0.84529,                0.90682,                0.80316,                0.00706,                0.50735,                0.90285,              0.0060625,              0.0060625,              0.0060625
                     59,                0.00915,                0.82331,                0.96722,                0.97754,                0.84543,                0.90696,                0.80336,                0.00706,                0.50694,                0.90284,              0.0059922,              0.0059922,              0.0059922
