                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                0.00486,                0.99945,                0.95557,                0.97681,                0.84865,                0.91019,                0.80493,                0.00351,                0.60112,                0.90239,               0.006375,               0.006375,               0.006375
                     61,                0.00485,                0.99865,                0.95514,                0.97654,                0.84927,                0.91039,                0.80488,                0.00351,                0.60048,                0.90244,              0.0063125,              0.0063125,              0.0063125
                     62,                0.00485,                0.99798,                0.95492,                0.97619,                0.84964,                0.91054,                0.80512,                0.00351,                0.59964,                0.90221,                0.00625,                0.00625,                0.00625
                     63,                0.00484,                0.99493,                0.95462,                0.97674,                0.84945,                0.91068,                0.80551,                 0.0035,                0.59882,                0.90206,              0.0061875,              0.0061875,              0.0061875
                     64,                0.00484,                0.99291,                0.95403,                 0.9763,                0.85005,                0.91084,                0.80583,                 0.0035,                0.59806,                0.90182,               0.006125,               0.006125,               0.006125
                     65,                0.00483,                0.99195,                0.95386,                0.97658,                0.85017,                0.91106,                0.80598,                 0.0035,                0.59739,                0.90167,              0.0060625,              0.0060625,              0.0060625
                     66,                0.00483,                0.99073,                0.95362,                0.97709,                0.84996,                0.91118,                0.80601,                 0.0035,                0.59696,                0.90171,                  0.006,                  0.006,                  0.006
                     67,                0.00483,                 0.9922,                0.95362,                0.97681,                0.85026,                0.91135,                0.80607,                 0.0035,                0.59618,                0.90167,              0.0059375,              0.0059375,              0.0059375
                     68,                0.00482,                0.99005,                0.95385,                0.97648,                0.85096,                0.91148,                0.80633,                 0.0035,                0.59538,                0.90141,               0.005875,               0.005875,               0.005875
                     69,                0.00481,                  0.986,                  0.953,                 0.9769,                0.85087,                0.91158,                0.80666,                0.00349,                0.59416,                0.90103,              0.0058125,              0.0058125,              0.0058125
                     70,                0.00482,                0.98621,                0.95269,                0.97735,                0.85059,                0.91167,                0.80678,                0.00349,                0.59365,                0.90099,                0.00575,                0.00575,                0.00575
                     71,                0.00481,                0.98424,                0.95255,                0.97744,                0.85066,                0.91177,                0.80694,                0.00349,                0.59335,                0.90098,              0.0056875,              0.0056875,              0.0056875
                     72,                0.00481,                0.98371,                0.95278,                0.97683,                0.85127,                0.91193,                0.80705,                0.00349,                0.59277,                0.90082,               0.005625,               0.005625,               0.005625
                     73,                 0.0048,                0.98042,                0.95135,                0.97708,                0.85118,                  0.912,                0.80711,                0.00349,                0.59209,                0.90077,              0.0055625,              0.0055625,              0.0055625
